"Category","List","Unique IPs","Common IPs","Their %","This %"
"reputation","packetmail_ramnode","2 502","49","1.96%","0.00%"
"abuse","cleantalk_new_30d","15 000","49","0.33%","0.00%"
"attacks","cruzit_web_attacks","10 920","44","0.40%","0.00%"
"abuse","cleantalk_7d","6 478","44","0.68%","0.00%"
"spam","lashback_ubl","37 994","41","0.11%","0.00%"
"attacks","iblocklist_cruzit_web_attacks","9 592","39","0.41%","0.00%"
"reputation","hphosts_pha","2 474","39","1.58%","0.00%"
"attacks","bi_sshd_0_1d","7 115","37","0.52%","0.00%"
"attacks","bi_any_2_30d","12 811","35","0.27%","0.00%"
"abuse","cleantalk_updated_7d","3 107","32","1.03%","0.00%"
"attacks","bi_ssh_2_30d","12 451","32","0.26%","0.00%"
"attacks","blocklist_de_mail","10 527","31","0.29%","0.00%"
"reputation","hphosts_mmt","960","30","3.13%","0.00%"
"attacks","blueliv_crimeserver_online","15 628","29","0.19%","0.00%"
"organizations","coinbl_hosts_browser","797","28","3.51%","0.00%"
"anonymizers","socks_proxy_30d","23 887","27","0.11%","0.00%"
"reputation","hphosts_wrz","905","27","2.98%","0.00%"
"anonymizers","et_tor","7 059","27","0.38%","0.00%"
"abuse","botscout_1d","1 650","24","1.45%","0.00%"
"anonymizers","tor_exits_30d","2 590","22","0.85%","0.00%"
"anonymizers","dm_tor","6 648","20","0.30%","0.00%"
"anonymizers","tor_exits_7d","1 706","19","1.11%","0.00%"
"anonymizers","tor_exits_1d","1 706","19","1.11%","0.00%"
"anonymizers","tor_exits","1 706","19","1.11%","0.00%"
"attacks","bi_mail_0_1d","1 374","19","1.38%","0.00%"
"attacks","nt_ssh_7d","169","18","10.65%","0.00%"
"attacks","dshield_top_1000","1 000","18","1.80%","0.00%"
"attacks","bruteforceblocker","1 017","18","1.77%","0.00%"
"spam","sorbs_new_spam","35 967","17","0.05%","0.00%"
"attacks","et_compromised","1 096","17","1.55%","0.00%"
"organizations","bitcoin_nodes_30d","14 559","17","0.12%","0.00%"
"attacks","nt_malware_http","69","16","23.19%","0.00%"
"malware","cta_cryptowall","1 360","15","1.10%","0.00%"
"attacks","bi_bruteforce_0_1d","6 474","15","0.23%","0.00%"
"attacks","blocklist_de_imap","1 313","14","1.07%","0.00%"
"malware","bambenek_suppobox","108","14","12.96%","0.00%"
"attacks","bi_badbots_0_1d","6 174","13","0.21%","0.00%"
"spam","nixspam","8 038","12","0.15%","0.00%"
"organizations","coinbl_ips","1 390","12","0.86%","0.00%"
"abuse","cleantalk_new_7d","3 500","12","0.34%","0.00%"
"reputation","bds_atif","1 047","12","1.15%","0.00%"
"attacks","dronebl_compromised","57 408","11","0.02%","0.00%"
"organizations","bitcoin_nodes_7d","9 131","11","0.12%","0.00%"
"spam","hphosts_grm","293","10","3.41%","0.00%"
"organizations","bitcoin_nodes_1d","7 385","10","0.14%","0.00%"
"organizations","bitcoin_nodes","6 861","10","0.15%","0.00%"
"malware","hphosts_exp","196","9","4.59%","0.00%"
"attacks","bi_voip_0_1d","72","9","12.50%","0.00%"
"anonymizers","socks_proxy_7d","11 566","8","0.07%","0.00%"
"attacks","urandomusto_rdp","133","7","5.26%","0.00%"
"attacks","bi_ssh-ddos_0_1d","2 000","7","0.35%","0.00%"
"attacks","bi_postfix_0_1d","555","7","1.26%","0.00%"
"attacks","bi_http_0_1d","1 349","7","0.52%","0.00%"
"attacks","bi_asterisk_0_1d","59","7","11.86%","0.00%"
"reputation","iblocklist_rangetest","4 280 758","6","0.00%","0.00%"
